page,label,section_id,section_title,nearest_prev_heading_text,heading_match,text
2,text,,Another generalization of Hadamard test: Optimal sample complexities for learning functions on the unitary group,,False,Daiki Suruga
2,text,,Another generalization of Hadamard test: Optimal sample complexities for learning functions on the unitary group,,False,"CFT PAN, Poland"
2,text,,Another generalization of Hadamard test: Optimal sample complexities for learning functions on the unitary group,,False,"September 10, 2025"
2,text,,Abstract,,False,"Estimating properties of unknown unitary operations is a fundamental task in quantum information science. While full unitary tomography requires a number of samples to the unknown unitary scaling linearly with the dimension (implying exponentially with the number of qubits), estimating specific functions of a unitary can be significantly more efficient. In this paper, we present a unified framework for the sample-efficient estimation of arbitrary square integrable functions f : U ( d ) → C , using only access to the controlled-unitary operation. We first provide a tight characterization of the optimal sample complexity when the accuracy is measured by the averaged bias over the unitary U ( d ). We then construct a sample-efficient estimation algorithm that becomes optimal under the Probably Approximately Correct (PAC) learning criterion for various classes of functions."
2,text,,Abstract,,False,"Applications include optimal estimation of matrix elements of irreducible representations, the trace, determinant, and general polynomial functions on U ( d ). Our technique generalize the Hadamard test and leverage tools from representation theory, yielding both lower and upper bound on sample complexity."
2,text,,1 Introduction,,False,"In quantum mechanics, any time evolution of a closed system is described by a unitary operator. As a result, many tasks in quantum information science involve estimating characteristics of a given, yet unknown unitary process. Examples of such tasks include the validation and certification of quantum circuits, error mitigation and correction in quantum processes, and the identification of hidden or unknown dynamics in black-box quantum systems. For such tasks, one needs to accurately estimate some characteristics of the unitaries, such as deviation from the ideal process (i.e., noise), eigenvalues and eigenvectors, or even the complete description of the unitary operator. With the rapid theoretical and experimental advancement of quantum information technologies, developing efficient methods for estimating the properties of unknown unitary operations has become increasingly essential, and has therefore received much attention."
2,text,,1 Introduction,,False,"A standard approach to estimating the characteristics of a given unitary operator is to reconstruct the entire unitary process-that is, to estimate all matrix elements of the unitary operator (sometimes up to a global phase). As a full characterization of a given unitary process is a fundamental task in quantum information science, numerous studies have addressed the full unitary tomography problem. See, e.g., [AJV01, CDS05, Hay06, YRC20, HKOT23], as well as a simple method described in Nielsen and Chuang [NC10, Section 8.4.2]. In particular, Ref. [HKOT23] recently showed that estimating a d -dimensional black-box unitary with high probability (when accuracy is measured by the diamond norm) requires Θ( d 2 ) samples. This implies that the number of required samples scales exponentially with the number of qubits."
2,text,,1 Introduction,,False,"On the other hand, many other studies focus on estimating a specific characteristic of a black-box unitary U ; here the characteristic is formally defined as the value f ( U ) of a function f : U ( d ) → C (where U ( d ) denotes the unitary group of dimension d ). For example, the (normalized) trace 1 d Tr U of a unitary U may be estimated by a simple application of the Hadamard test (see, e.g., [Chi, Section 16.1]) with only a constant number of queries to the controlled U operation, no matter how many qubits the unitary U acts on. This application of the Hadamard"
3,text,,1 Introduction,,False,"test provides an exponentially more sample-efficient method (with respect to the number of qubits) than a simple application of the full unitary tomography where the given unitary U is directly estimated by the full tomography first, and then 1 d Tr U is computed by classical computation. As in this example, it is often the case that one provably reduces the number of samples significantly compared to the full unitary tomography, when focusing on a specific characteristic. Because of its provable efficiency, there are many works that focus on estimating a specific characteristic, including the determinant det U [ZBQ + 25, AS25], the eigenvalues [Kit95, DJSW07, SHF13, KLY15, MdW23], and other quantities [LSS + 20, SY23, FEK25]."
3,text,,1 Introduction,,False,"While there is a rich literature on estimating specific functions f ( U ), only a few such functions, such as the trace and the determinant, have been systematically studied. For general functions f : U ( d ) → C , no efficient estimation scheme is currently known. It is therefore desirable to develop a unified, sample-efficient estimation framework that applies to a broad class of such functions."
3,text,,1.1 Our contributions,,False,The main purpose of this paper is to provide a unified estimation framework that allows for the construction of sample-efficient algorithms for estimating f ( U ) for any choice of the function f ( U ).
3,text,,1.1 Our contributions,,False,Our results are twofold:
3,list_item,,1.1 Our contributions,,False,"(i) In our first result, we tightly characterize the sample complexity required to estimate a function f accurately, when the accuracy is measured by the averaged bias over the Haar measure on U ( d ). This works for any function f that is square-integrable, i.e., f ∈ L 2 ( U ( d ))."
3,list_item,,1.1 Our contributions,,False,"(ii) In our second result, we provide an estimation algorithm based on the one designed for the first result. This algorithm become sample-optimal for estimating several kinds of functions even in the PAC (Probably Approximately Correct) learning framework, one of the most standard frameworks for tomography/estimation."
3,text,,1.1 Our contributions,,False,"In Sections 1.1.1 and 1.1.2, each of the two results is explained in detail respectively."
3,text,,1.1.1 First result,,False,"To state our first result formally, we define the averaged bias Bias G ( A , f ) of an estimation algorithm A for a function f as follows:"
3,text,,1.1.1 First result,,False,Definition. Let f : U ( d ) → C . We say a query algorithm A estimates the function f correctly with the averaged bias over the group G = U ( d ) less than ε if and only if
3,text,,1.1.1 First result,,False,"where Bias g ( A , f ) is the bias of the algorithm A at g ∈ U ( d ) , and the expectation E G is taken over the normalized Haar measure over the group U ( d ) ."
3,text,,1.1.1 First result,,False,"One first result is Theorem 1, that shows the number of optimal query access for estimating f under the condition Bias G ( A , f ) < ε is characterized by the quantity Rep ε ( f ). The formal definition of the quantity Rep ε ( f ) is defined later in Definition 6."
3,text,,1.1.1 First result,,False,"Theorem 1. Let f ∈ L 2 ( U ( d )) , and Rep ε ( f ) be as in Definition 6."
3,list_item,,1.1.1 First result,,False,"For any query algorithm A that queries to controlled-g estimates f with Bias G ( A , f ) < ε , then the algorithm A requires Ω( Rep ε ( f )) query access."
3,list_item,,1.1.1 First result,,False,"There is an estimation algorithm A with O ( Rep ε ( f )) query access that satisfies Bias G ( A , f ) < ε ."
3,text,,1.1.1 First result,,False,"Together, these bounds imply that the optimal query complexity for estimation f with accuracy ε is"
4,text,,1.1.1 First result,,False,Remarks on Theorem 1. We now give several remarks regarding Theorem 1.
4,list_item,,1.1.1 First result,,False,"First, we remark that the measure of accuracy Bias G is not the standard choice considered in the literature. The most commonly used measure is arguably the one defined in the PAC learning framework, which is in the scope of our second result. Compared to the PAC-based criterion, our measure imposes in some sense a weaker requirement; the number of query access for accurately estimating f ( U ) with respect to the measure Bias G is always smaller than with respect to the PAC learning measure (under a mild condition) as shown in Fact 6. Nevertheless, the measure Bias G is not merely an artificial construct, since the bias is indeed the natural choice in classical/quantum estimation theory [LC98, Hel69, Hay16], and there are research works, e.g., References [AJV01, CDPS04, CDS05, Hay06], that naturally consider the average of cost functions over the unitary group when estimating some properties of an unknown unitary."
4,list_item,,1.1.1 First result,,False,"We also remark that our estimation algorithm assumes query access only to the controlled-unitary operation CU , which cannot, in general, be replaced by access to U alone, since different unitaries can produce the same unitary channels 1 . This contrasts with several other studies [Kit95, BHMT02, GSLW19, vACGN23] that allow their algorithms access to additional types of queries such as U ∗ , CU ∗ , or multiple variants in combination with CU . Since in general it is hard [GST24] to construct these unitaries only from CU , our algorithm has the desirable property of relying solely on accesses to CU ."
4,text,,1.1.1 First result,,False,"Furthermore, our lower bound holds even for algorithms that are permitted access to other types of queries such as U , U ∗ , CU ∗ . Therefore our characterization remains tight for a wider class of query models."
4,list_item,,1.1.1 First result,,False,"Third, our result applies to a broad class of functions-specifically, the set of square-integrable functions L 2 ( U ( d )). This space includes all continuous functions as well as certain discontinuous functions. In particular, our result holds for any continuous functions, including natural examples such as Tr U and det U , as well as for some discontinuous functions-for example,"
4,text,,1.1.1 First result,,False,where A ⊂ U ( d ) is open or closed. These observations support the wide applicability of our result.
4,list_item,,1.1.1 First result,,False,"Lastly, we discuss the difficulty of computing the quantity Rep ε ( f ). It is generally difficult to compute Rep ε ( f ) accurately, and efficient computation of the quantity is beyond the scope of this paper. Nevertheless, for specific examples, we present methods to obtain simpler forms of Rep ε ( f ) in Section 5.1."
4,text,,1.1.2 Second result,,False,"In our second result, we aim to estimate a function f : U ( d ) → C accurately under the PAC criterion. The definition of the PAC criterion is as follows:"
4,text,,1.1.2 Second result,,False,"Definition. Let f : U ( d ) → C . We say an algorithm A that has query access to CU estimates the function f correctly with the precision parameters ( ε, δ ) if and only if"
4,text,,1.1.2 Second result,,False,"Our second result, stated in Proposition 1, shows an estimation algorithm for a function f ( U ) when f ( U ) is a polynomial of u ij 's and ¯ u ij 's with degree ≤ m , where U = ( u ij ) 1 ≤ i,j ≤ d and ¯ u ij is the complex conjugate of u ij ."
4,text,,1.1.2 Second result,,False,"Proposition 1. Let f ( U ) be a polynomial of u ij 's and ¯ u ij 's with degree ≤ m . Then there is an estimation algorithm for f under the PAC criterion that uses O ( ∥ A ∥ 2 1 log 1 δ ε 2 · m ) queries, for any matrix A satisfying"
5,text,,1.1.2 Second result,,False,"Proposition 1 shows that to get an upper bound on the query complexity for estimating f under the PAC criterion, it is sufficient only to find a matrix A that satisfies the constraint (1) and has a small L 1 norm. Based on Proposition 1, we give matching upper bounds for the (normalized) trace, the determinant, and other specific functions, in Section 5.2. All of the upper bounds given in Section 5.2 are tight when ε and δ are sufficiently small constants."
5,text,,1.1.2 Second result,,False,"Notably, one of our applications of Proposition 1 shows the optimal query complexity for every matrix element π i,j ( g ) of a unitary irreducible representation π ( g ) = ( π i,j ( g )), a fundamental quantity in representation theory."
5,text,,1.1.2 Second result,,False,"This quantity naturally appears, for example, in a generalization of Fourier analysis. In the generalization of Fourier analysis-specifically the harmonic analysis over compact groups-any function f ∈ L 2 ( U ( d )) is decomposed as a linear decomposition of the matrix elements of irreducible representations;"
5,text,,1.1.2 Second result,,False,"for some a π i,j ∈ C . As representation theory provides powerful tools in quantum computing, there is a considerable number of works that focus on the computation of the matrix elements or its relevant quantities [Jor09, MS14, Cir24, BCG + 24, BNZ25, LH25, Pan25, BGHS25]. For example, Ref. [Jor09] considers the gate complexity for estimating the matrix elements. However, the query complexity of the matrix elements was not known before this paper."
5,text,,1.2 Proof techniques,,False,We now briefly explain how to prove the lower bounds and the upper bounds in Theorem 1 and Proposition 1 respectively.
5,text,,1.2 Proof techniques,,False,"Lower bounds. To show the lower bound, let A be a query algorithm that uses m queries for estimating a function f with Bias G < ε . First, we observe that the expectation E [ A| g ] of the estimates of A , when the unknown unitary is g ∈ U ( d ), is a polynomial as the matrix elements of g and g ∗ with degree ≤ 2 m . Moreover, from the constraint on the bias: Bias G < ε , it follows that the L 2 distance ∥ E [ A| g ] -f ( g ) ∥ L 2 is small. This means the expectation E [ A| g ] approximates the function f well. However several representation theory techniques tell the function is decomposed by"
5,text,,1.2 Proof techniques,,False,"where poly ≤ 2 m f represents the polynomial with degree ≤ m that approximates the original function f best, and poly ⊥ ≤ 2 m f is the rest. Therefore if ∥ poly ⊥ ≤ 2 m f ∥ L 2 is large, the expectation E [ A| g ] cannot approximate the original f well. This implies that the number m of queries has to be large enough so that the quantity ∥ poly ⊥ ≤ 2 m f ∥ L 2 becomes sufficiently small, yielding a query lower bound."
5,text,,1.2 Proof techniques,,False,"Similar methods sometimes appear in the literature, e.g., References [BBC + 01, SY23]."
