chunk_index,chunk_level,content_type,section_id,section_title,section_path,section_path_ids,page_start,page_end
0,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
1,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
2,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
3,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
4,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
5,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
6,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_0,Introduction,['Introduction'],['30c88170-fd15-5486-bf70-bbab16747183_section_0'],2,2.0
7,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_2,First result,['First result'],['30c88170-fd15-5486-bf70-bbab16747183_section_2'],3,3.0
8,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_2,First result,['First result'],['30c88170-fd15-5486-bf70-bbab16747183_section_2'],3,3.0
9,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
10,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
11,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
12,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
13,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
14,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
15,coarse,text,30c88170-fd15-5486-bf70-bbab16747183_section_3,Second result,['Second result'],['30c88170-fd15-5486-bf70-bbab16747183_section_3'],4,4.0
16,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
17,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
18,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
19,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
20,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
21,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
22,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
23,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
24,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
25,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
26,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
27,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
28,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
29,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
30,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
31,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
32,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
33,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
34,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
35,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
36,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
37,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
38,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
39,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
40,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
41,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
42,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
43,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
44,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
45,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
46,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
47,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
48,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
49,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
50,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
51,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
52,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
53,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
54,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
55,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
56,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
57,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
58,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
59,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
60,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
61,fine,text,30c88170-fd15-5486-bf70-bbab16747183_section_10,Lower bound,['Lower bound'],['30c88170-fd15-5486-bf70-bbab16747183_section_10'],9,9.0
