source,coordinates,filetype,languages,page_number,filename,category,element_id,is_extracted,parent_id,links,text_as_html,page_content
../input/Gated Attention.pdf,"{'points': [[198.1282501220703, 61.8940544128418], [198.1282501220703, 117.3667221069336], [332.2106628417969, 117.3667221069336], [332.2106628417969, 61.8940544128418]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,Image,328003dc6c13213f30f0d9a888a10cb5,,,,,Qwen
../input/Gated Attention.pdf,"{'points': [[1326.0623779296875, 94.84130096435547], [1326.0623779296875, 116.85912322998047], [1454.18310546875, 116.85912322998047], [1454.18310546875, 94.84130096435547]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,Header,e0f8aad552bfd390c4496e1d7d2a6d14,true,,,,2025-06-11
../input/Gated Attention.pdf,"{'points': [[206.0, 196.0], [206.0, 270.0], [1453.0, 270.0], [1453.0, 196.0]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,UncategorizedText,8a49629e5898b3b8b1817db1a3c7c4f1,,e0f8aad552bfd390c4496e1d7d2a6d14,,,"Gated Attention for Large Language Models: Non-linearity, Sparsity, and Attention-Sink-Free"
../input/Gated Attention.pdf,"{'points': [[341.3212890625, 316.16469555555557], [341.3212890625, 490.0], [1314.6573611111112, 490.0], [1314.6573611111112, 316.16469555555557]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,NarrativeText,ffdc80f0680c881886931d2311a1777a,true,e0f8aad552bfd390c4496e1d7d2a6d14,,,"Zihan Qiu*!, Zekun Wang*!, Bo Zheng*!, Zeyu Huang*?, Kaiyue Wen?, Songlin Rui Men, Le Yu!, Fei Hu, Suozhi Hu, Dayiheng Liu™!, Jingren Zhou!, Junyang Lin™! 1Qwen Team, Alibaba Group Uv’ of Edinburgh 3Stanford University AMIT shu University"
../input/Gated Attention.pdf,"{'points': [[44.08131408691406, 678.5971666666667], [44.08131408691406, 1659.9860555555554], [100.94444444444446, 1659.9860555555554], [100.94444444444446, 678.5971666666667]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,Header,02ba3380dba960cbdb25975ee648e248,true,,,,5 2 0 2 y a M 0 1 ] L C . s c [ 1 v 8 0 7 6 0 . 5 0 5 2 : v i X r a
../input/Gated Attention.pdf,"{'points': [[762.0066528320312, 569.5257568359375], [762.0066528320312, 604.0391199999997], [890.5233764648438, 604.0391199999997], [890.5233764648438, 569.5257568359375]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,Title,f77e80976b6214b47fbddfea94aa90d7,true,02ba3380dba960cbdb25975ee648e248,,,Abstract
../input/Gated Attention.pdf,"{'points': [[293.0933532714844, 636.7689208984375], [293.0933532714844, 1153.9901477777778], [1361.6939136777776, 1153.9901477777778], [1361.6939136777776, 636.7689208984375]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,NarrativeText,dd11127072238810faea64f51a979b80,true,f77e80976b6214b47fbddfea94aa90d7,"[{'text': 'Hochreiter', 'url': 'cite.hochreiter1997long', 'start_index': 75}, {'text': '& Schmidhuber', 'url': 'cite.hochreiter1997long', 'start_index': 86}, {'text': '1997', 'url': 'cite.hochreiter1997long', 'start_index': 101}, {'text': 'Srivastava et al .,', 'url': 'cite.srivastava2015highway', 'start_index': 129}, {'text': '2015', 'url': 'cite.srivastava2015highway', 'start_index': 148}, {'text': 'Gu & Dao', 'url': 'cite.gu2023mamba', 'start_index': 184}, {'text': '2023', 'url': 'cite.gu2023mamba', 'start_index': 194}, {'text': 'Hua et al .,', 'url': 'cite.hua2022transformer', 'start_index': 219}, {'text': '2022', 'url': 'cite.hua2022transformer', 'start_index': 231}, {'text': 'Lin et al .,', 'url': 'cite.lin2025forgetting', 'start_index': 266}, {'text': '2025', 'url': 'cite.lin2025forgetting', 'start_index': 278}, {'text': 'codes', 'url': 'https://github.com/qiuzh20/gated_attention', 'start_index': 1374}, {'text': 'models', 'url': 'https://huggingface.co/QwQZh/gated_attention', 'start_index': 1384}]",,"Gating mechanisms have been widely utilized, from early models like LSTMs (Hochreiter & Schmidhuber, 1997) and Highway Networks (Srivastava et al., 2015) to recent state space models (Gu & Dao, 2023), linear attention (Hua et al., 2022), and also softmax attention (Lin et al., 2025). Yet, existing literature rarely examines the specific effects of gating. In this work, we conduct comprehensive experiments to systematically investigate gating-augmented softmax attention variants. Specifically, we perform a comprehen- sive comparison over 30 variants of 15B Mixture-of-Experts (MoE) models and 1.7B dense models trained on a 3.5 trillion token dataset. Our central finding is that a simple modification—applying a head-specific sigmoid gate after the Scaled Dot-Product Attention (SDPA)—consistently improves performance. This modification also enhances training sta- bility, tolerates larger learning rates, and improves scaling properties. By comparing various gating positions and computational variants, we attribute this effectiveness to two key factors: (1) introducing non-linearity upon the low-rank mapping in the softmax attention, and (2) applying query-dependent sparse gating scores to modulate the SDPA output. Notably, we find this sparse gating mechanism mitigates ‘attention sink’ and enhances long-context extrapolation performance, and we also release related codes and models to facilitate future research."
../input/Gated Attention.pdf,"{'points': [[194.92323303222656, 1209.4840087890625], [194.92323303222656, 1244.7335644444445], [438.51108444444446, 1244.7335644444445], [438.51108444444446, 1209.4840087890625]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,Title,319ddf828c95298415d9f0e04839bfbc,true,02ba3380dba960cbdb25975ee648e248,,,1 Introduction
../input/Gated Attention.pdf,"{'points': [[194.16114807128906, 1276.8773193359375], [194.16114807128906, 1521.3373700000002], [1460.1606573222214, 1521.3373700000002], [1460.1606573222214, 1276.8773193359375]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,NarrativeText,e7c2a0aa242e1a01224a2edefc51baad,true,319ddf828c95298415d9f0e04839bfbc,"[{'text': 'Hochreiter', 'url': 'cite.hochreiter1997long', 'start_index': 93}, {'text': '& Schmidhuber', 'url': 'cite.hochreiter1997long', 'start_index': 104}, {'text': '1997', 'url': 'cite.hochreiter1997long', 'start_index': 119}, {'text': 'Srivastava et al .,', 'url': 'cite.srivastava2015highway', 'start_index': 144}, {'text': '2015', 'url': 'cite.srivastava2015highway', 'start_index': 163}, {'text': 'Dey & Salem', 'url': 'cite.dey2017gate', 'start_index': 179}, {'text': '2017', 'url': 'cite.dey2017gate', 'start_index': 192}, {'text': 'Gu & Dao', 'url': 'cite.gu2023mamba', 'start_index': 425}, {'text': '2023', 'url': 'cite.gu2023mamba', 'start_index': 435}, {'text': 'Dao & Gu', 'url': 'cite.mamba2', 'start_index': 441}, {'text': '2024', 'url': 'cite.mamba2', 'start_index': 451}, {'text': 'Hua et al .,', 'url': 'cite.hua2022transformer', 'start_index': 483}, {'text': '2022', 'url': 'cite.hua2022transformer', 'start_index': 495}, {'text': 'Sun', 'url': 'cite.sun2023retentivenetworksuccessortransformer', 'start_index': 501}, {'text': 'et al .,', 'url': 'cite.sun2023retentivenetworksuccessortransformer', 'start_index': 505}, {'text': '2023', 'url': 'cite.sun2023retentivenetworksuccessortransformer', 'start_index': 513}, {'text': 'Qin et al .,', 'url': 'cite.qin2024lightning', 'start_index': 519}, {'text': '2024a', 'url': 'cite.qin2024lightning', 'start_index': 531}, {'text': 'Yang et al .,', 'url': 'cite.yang2024gated', 'start_index': 538}, {'text': '2024b', 'url': 'cite.yang2024gated', 'start_index': 551}, {'text': 'Lin et al .,', 'url': 'cite.lin2025forgetting', 'start_index': 558}, {'text': '2025', 'url': 'cite.lin2025forgetting', 'start_index': 570}]",,"Gating mechanism is well-established in neural networks. Early architectures, such as LSTMs (Hochreiter & Schmidhuber, 1997), Highway Networks (Srivastava et al., 2015) and GRUs (Dey & Salem, 2017), pioneer the use of gating to control information flow across time steps or layers and improve gradient propagation. This principle persists in modern architectures. Recent sequence modeling works, including state-space models (Gu & Dao, 2023; Dao & Gu, 2024) and attention mechanisms (Hua et al., 2022; Sun et al., 2023; Qin et al., 2024a; Yang et al., 2024b; Lin et al., 2025) commonly apply gating, often to modulate the outputs of token-mixer components. Despite its widespread adoption and empirical success, the function and impact of gating mechanisms remain insufficiently explored beyond their initial intuition."
../input/Gated Attention.pdf,"{'points': [[193.90611267089844, 1536.845947265625], [193.90611267089844, 1811.9151477777777], [1460.1601496933329, 1811.9151477777777], [1460.1601496933329, 1536.845947265625]], 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",application/pdf,['eng'],1,Gated Attention.pdf,NarrativeText,3e80824f13828780aca94272d8fb1f88,true,319ddf828c95298415d9f0e04839bfbc,"[{'text': 'Csordas et al .,', 'url': 'cite.csordas2024moeut', 'start_index': 166}, {'text': '2024a', 'url': 'cite.csordas2024moeut', 'start_index': 182}, {'text': 'b', 'url': 'cite.csordas2024switchhead', 'start_index': 188}, {'text': '. 1', 'url': 'subsection.A.1', 'start_index': 302}, {'text': 'Yuan et al .,', 'url': 'cite.yuan2025native', 'start_index': 593}, {'text': '2025', 'url': 'cite.yuan2025native', 'start_index': 606}]",,"Insufficient understanding hinders assessing gating’s true contribution, especially when confounded with other architectural factors. For instance, while Switch Heads (Csordas et al., 2024a;b) introduces a sigmoid gatingtoselecttop-Kattentionheadexperts, ourexperimentsrevealaninterestingfinding(AppendixA.1): substantial performance gains persist even when reduced to a single expert, where the gate simply modulates the value output. This strongly suggests the gating itself provides significant intrinsic value, separate from the routing mechanism. Similarly, in Native Sparse Attention (NSA) (Yuan et al., 2025), while overall performance improvements are demonstrated, they do not disentangle the contributions of its gating mechanism from the effects of the sparse attention design itself. These considerations underscore the need to rigorously disentangle the effects of gating from other architectural components."
