source,is_extracted,coordinates,last_modified,filetype,languages,page_number,file_directory,filename,category,element_id,detection_class_prob,parent_id,links,page_content
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(678.5971666666667)), (np.float64(45.388888888888886), np.float64(706.3749444444444)), (np.float64(100.94444444444446), np.float64(706.3749444444444)), (np.float64(100.94444444444446), np.float64(678.5971666666667))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,9b0ae0bf7951a5920cd41cbf5cdbfdda,,,,5
../input/Gated Attention.pdf,,"{'points': ((np.float64(51.0), np.float64(683.0)), (np.float64(51.0), np.float64(787.0)), (np.float64(88.0), np.float64(787.0)), (np.float64(88.0), np.float64(683.0))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,0342764869c735c961173bb955a679d3,,,,2025
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(706.3749444444444)), (np.float64(45.388888888888886), np.float64(734.1527222222222)), (np.float64(100.94444444444446), np.float64(734.1527222222222)), (np.float64(100.94444444444446), np.float64(706.3749444444444))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,23cd7d948a7f13095afe604e28d75b60,,,,2
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(734.1527222222222)), (np.float64(45.388888888888886), np.float64(761.9305)), (np.float64(100.94444444444446), np.float64(761.9305)), (np.float64(100.94444444444446), np.float64(734.1527222222222))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,bfa8d48ad02a9d66d498ff087682ba89,,,,0
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(761.9305)), (np.float64(45.388888888888886), np.float64(789.7082777777778)), (np.float64(100.94444444444446), np.float64(789.7082777777778)), (np.float64(100.94444444444446), np.float64(761.9305))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,4f243bde6538f216f202edd0491c56c0,,,,2
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(802.4324340820312)), (np.float64(45.388888888888886), np.float64(1512.4892578125)), (np.float64(100.94444444444446), np.float64(1512.4892578125)), (np.float64(100.94444444444446), np.float64(802.4324340820312))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,Header,1fb60377223bad442f74c44de3e89bff,0.552950918674469,,,y a M 0 1 ] L C . s c [ 1 v 8 0 7 6 0 . 5 0 5
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1490.2638333333332)), (np.float64(45.388888888888886), np.float64(1518.0416111111108)), (np.float64(100.94444444444446), np.float64(1518.0416111111108)), (np.float64(100.94444444444446), np.float64(1490.2638333333332))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,55dd298997b58d8a7d3620c86aa32dfd,,1fb60377223bad442f74c44de3e89bff,,2
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1518.0416111111108)), (np.float64(45.388888888888886), np.float64(1533.4860555555556)), (np.float64(100.94444444444446), np.float64(1533.4860555555556)), (np.float64(100.94444444444446), np.float64(1518.0416111111108))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,e36d79b489ffd382994fa950b122ba66,,1fb60377223bad442f74c44de3e89bff,,:
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1533.4860555555556)), (np.float64(45.388888888888886), np.float64(1561.2638333333332)), (np.float64(100.94444444444446), np.float64(1561.2638333333332)), (np.float64(100.94444444444446), np.float64(1533.4860555555556))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,a226119eebd024e21683d168ac19e1ea,,1fb60377223bad442f74c44de3e89bff,,v
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1561.2638333333332)), (np.float64(45.388888888888886), np.float64(1576.708277777778)), (np.float64(100.94444444444446), np.float64(1576.708277777778)), (np.float64(100.94444444444446), np.float64(1561.2638333333332))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,bda64d939a86e16bf8577937bfc8ac94,,1fb60377223bad442f74c44de3e89bff,,i
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1576.708277777778)), (np.float64(45.388888888888886), np.float64(1616.8193888888889)), (np.float64(100.94444444444446), np.float64(1616.8193888888889)), (np.float64(100.94444444444446), np.float64(1576.708277777778))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,cb43b1d4e6e1afba2b481f9e8eaa9591,,1fb60377223bad442f74c44de3e89bff,,X
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1616.8193888888889)), (np.float64(45.388888888888886), np.float64(1635.3193888888889)), (np.float64(100.94444444444446), np.float64(1635.3193888888889)), (np.float64(100.94444444444446), np.float64(1616.8193888888889))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,1ce6530ad2c9804323e156f4427fed87,,1fb60377223bad442f74c44de3e89bff,,r
../input/Gated Attention.pdf,true,"{'points': ((np.float64(45.388888888888886), np.float64(1635.3193888888889)), (np.float64(45.388888888888886), np.float64(1659.9860555555554)), (np.float64(100.94444444444446), np.float64(1659.9860555555554)), (np.float64(100.94444444444446), np.float64(1635.3193888888889))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,UncategorizedText,96b9b5e702203f9a1034c82ca1fd01e1,,1fb60377223bad442f74c44de3e89bff,,a
../input/Gated Attention.pdf,,"{'points': ((np.float64(186.33733844444444), np.float64(49.321278111111155)), (np.float64(186.33733844444444), np.float64(128.408494111111)), (np.float64(340.35333844444443), np.float64(128.408494111111)), (np.float64(340.35333844444443), np.float64(49.321278111111155))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,Image,cf3166d6aa06b752ce8e4bee1f369c6b,,,,N73 Qwen
../input/Gated Attention.pdf,true,"{'points': ((np.float64(1326.4783935546875), np.float64(96.60163879394531)), (np.float64(1326.4783935546875), np.float64(125.50681444444427)), (np.float64(1457.2041015625), np.float64(125.50681444444427)), (np.float64(1457.2041015625), np.float64(96.60163879394531))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,Header,3414fe1ef829f544d320c711af22e318,0.8534125089645386,,,2025-06-11
../input/Gated Attention.pdf,true,"{'points': ((np.float64(201.20828247070312), np.float64(196.3913588888889)), (np.float64(201.20828247070312), np.float64(280.52246999999994)), (np.float64(1457.4970703125), np.float64(280.52246999999994)), (np.float64(1457.4970703125), np.float64(196.3913588888889))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,Title,902c0b23e415ec6236cddb7efe1fb144,0.938098132610321,3414fe1ef829f544d320c711af22e318,,"Gated Attention for Large Language Models: Non-linearity, Sparsity, and Attention-Sink-Free"
../input/Gated Attention.pdf,true,"{'points': ((np.float64(337.7152404785156), np.float64(316.16469555555557)), (np.float64(337.7152404785156), np.float64(418.4123699999999)), (np.float64(1326.911376953125), np.float64(418.4123699999999)), (np.float64(1326.911376953125), np.float64(316.16469555555557))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,NarrativeText,f8f8809ddc94d02a0af4014b006573ad,0.506786584854126,902c0b23e415ec6236cddb7efe1fb144,,"Zihan Qiu*!, Zekun Wang*!, Bo Zheng*!, Zeyu Huang*”, Kaiyue Wen®, Songlin Yang"", Rui Men!, Le Yu!, Fei Huang!, Suozhi Huang’, Dayiheng Liu™!, Jingren Zhou!, Junyang Lin™!"
../input/Gated Attention.pdf,true,"{'points': ((np.float64(334.52423095703125), np.float64(417.33969555555524)), (np.float64(334.52423095703125), np.float64(486.30681444444406)), (np.float64(1321.997802734375), np.float64(486.30681444444406)), (np.float64(1321.997802734375), np.float64(417.33969555555524))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,NarrativeText,3ac847e1b2171f2653682e887387a33e,0.48693153262138367,902c0b23e415ec6236cddb7efe1fb144,,"1Qwen Team, Alibaba Group 2University of Edinburgh 3Stanford University 4MIT 5Tsinghua University"
../input/Gated Attention.pdf,true,"{'points': ((np.float64(763.1444444444445), np.float64(570.8302311111108)), (np.float64(763.1444444444445), np.float64(604.0391199999997)), (np.float64(893.5474853515625), np.float64(604.0391199999997)), (np.float64(893.5474853515625), np.float64(570.8302311111108))), 'system': 'PixelSpace', 'layout_width': 1654, 'layout_height': 2339}",2025-12-22T23:18:46,application/pdf,['eng'],1,../input,Gated Attention.pdf,Title,a62ca99256c6c93b3bf8d7554ebcdcda,0.8421920537948608,3414fe1ef829f544d320c711af22e318,,Abstract
