paper_id,paper_type,document_id,section_id,section_title,question,reference_answer,relevant_chunk_ids,question_type
paper_theory,Theory,30c88170-fd15-5486-bf70-bbab16747183,30c88170-fd15-5486-bf70-bbab16747183_section_19,1.1 Our contributions,"What is the upper bound on the query complexity for estimating an irreducible representation matrix element πλ(g)i,j under the PAC learning criterion?","Proposition 8 states that for any unitary irreducible representation (πλ, Vλ) whose label λ belongs to Λd(m, m̄), the query complexity satisfies Qε,δ(f) = O((m + m̄)/ε² · log(1/δ)) where f(g) = πλ(g)i,j.","['f87fdaf6-6569-5ec1-8c3c-baaa5b533e01', 'e7a075b3-39e6-5f79-a53a-334251545c8d']",factual
paper_theory,Theory,30c88170-fd15-5486-bf70-bbab16747183,30c88170-fd15-5486-bf70-bbab16747183_section_19,1.1 Our contributions,Which mathematical duality is used in the proof of Proposition 8 to decompose tensor products of unitary representations?,"The proof applies Schur-Weyl duality to decompose the tensor products g⊗m and ḡ⊗m̄ into direct sums of irreducible representations. The highest weight theory then gives the further decomposition W*πλ+(g) ⊗ πλ-(g)W = π(λ+,λ-)(g) ⊕ Garbage.","['6a3bd22d-f0c4-520d-bff6-85f9ddc0178e', 'e7a075b3-39e6-5f79-a53a-334251545c8d']",conceptual
paper_theory,Theory,30c88170-fd15-5486-bf70-bbab16747183,30c88170-fd15-5486-bf70-bbab16747183_section_19,1.1 Our contributions,What is the role of the partial transpose operation in the proof of Proposition 8?,"The partial transpose is taken over systems BE, where system B corresponds to the space on which ḡ⊗m̄ acts. This transforms the tensor product expression into one involving the transposed irreducible representation π^T(λ+,λ-)(g) and allows construction of the measurement operator A with trace norm equal to 1, yielding the desired estimation statement.","['5e934d2e-aafa-5ed8-8301-47b3eed26318', '16a5c6fa-6bf7-5728-9e91-6e3990ac546b']",conceptual
paper_theory,Theory,30c88170-fd15-5486-bf70-bbab16747183,30c88170-fd15-5486-bf70-bbab16747183_section_12,5 Applications,What are the two subsections of Section 5 and what does each address?,Section 5 has two subsections. Section 5.1 discusses how to obtain simpler expressions of the quantity Repε(f). Section 5.2 shows that the algorithm works well even in the PAC learning framework for specific functions.,"['a8321e91-330d-57b5-bd28-7a1951262cb1', 'ef8c03d5-e0e9-5dc0-9a0a-84f697465332']",factual
paper_theory,Theory,30c88170-fd15-5486-bf70-bbab16747183,30c88170-fd15-5486-bf70-bbab16747183_section_12,5 Applications,"What is the formula for G(α, d) and how is it computed using properties of the Haar measure?","G(α, d) is defined as the integral ∫|g11|^(2α) dg over the unitary group with respect to the Haar measure. It can be computed using properties of the Haar measure since g11, ..., g1d are i.i.d. and satisfy Σ|g1i|² = 1.",['8c24403f-02e2-57bf-922f-b36aeb576e95'],factual
paper_theory,Theory,30c88170-fd15-5486-bf70-bbab16747183,30c88170-fd15-5486-bf70-bbab16747183_section_12,5 Applications,"What does Schur's orthogonality relation imply about the L2 norm of an irreducible representation matrix element πλ(g)i,j?","By Schur's orthogonality relation, any irreducible representation (πλ, Vλ) over U(d) satisfies ‖πλ(g)i,j‖²_{L²} = 1/dim Vλ. As a special case, the one-dimensional irreducible representation det g satisfies ‖det g‖²_{L²} = 1, since det g is a degree-d polynomial.",['ec1909da-e6ab-563c-a9a8-68407b3ff348'],factual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,6 Results,What BLEU scores did the Transformer achieve on the WMT 2014 English-to-German and English-to-French translation tasks?,"On the newstest2014 tests, the Transformer achieved 27.3 BLEU on English-to-German and 38.1 BLEU on English-to-French, outperforming all previously reported models including ensembles on both tasks.",['5cba0513-5e97-5002-bf12-636818292019'],factual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,6 Results,How does the training cost of the Transformer base model compare to GNMT+RL on the English-to-German task?,"The Transformer base model requires 3.3×10^18 FLOPs for English-to-German training, substantially lower than GNMT+RL which requires 2.3×10^19 FLOPs for the same task.",['5cba0513-5e97-5002-bf12-636818292019'],factual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,6 Results,What effect does reducing the attention key size dk have on model quality according to the ablation study?,"Table 3 rows (B) show that reducing the attention key size dk hurts model quality. The authors suggest that determining compatibility between queries and keys is not easy with a smaller dimension, and that a more sophisticated compatibility function than dot product may be beneficial.","['d3999dfc-5166-53ff-b0ae-9c50bf396e6d', 'e5074e88-6051-5b75-91cd-96e06c4288be']",factual
paper_applied,Applied,bd077a96-5a38-5281-993e-10cf869afcde,bd077a96-5a38-5281-993e-10cf869afcde_section_5,6 Results,What are the PPL and BLEU scores of the big Transformer model and how does its configuration differ from the base model?,"The big model achieves PPL of 4.33 and BLEU of 26.4. It uses a 1024-dimensional model, 4096-dimensional feed-forward network, 16 attention heads, dropout of 0.3, trained for 300K steps with 213M parameters — compared to the base model's 512 dimensions, 2048 feed-forward, 8 heads, 0.1 dropout, 100K steps, and 65M parameters.","['83d74f89-f113-546e-8a57-431df2947049', '97dbc3d1-8bc9-5fc1-874f-ad4c9a67e87d']",factual
